"Step","ddqn_yf52szb3 - Ask Price","ddqn_yf52szb3 - Ask Price__MIN","ddqn_yf52szb3 - Ask Price__MAX"
"33708","100.06","100.06","100.06"
"33715","100.03","100.03","100.03"
"33815","100.03","100.03","100.03"
"34048","100.02","100.02","100.02"
"34055","100.00999999999999","100.00999999999999","100.00999999999999"
"34064","100.05","100.05","100.05"
"34104","100.00999999999999","100.00999999999999","100.00999999999999"
"34119","100.02","100.02","100.02"
"34133","100.03","100.03","100.03"
"34167","99.99","99.99","99.99"
"34241","100.03","100.03","100.03"
"34430","100.00999999999999","100.00999999999999","100.00999999999999"
"34434","100.03","100.03","100.03"
"34493","100.05","100.05","100.05"
"34553","100.05","100.05","100.05"
"34626","100.06","100.06","100.06"
"34685","100.11","100.11","100.11"
"34686","99.99000000000001","99.99000000000001","99.99000000000001"
"34764","99.99","99.99","99.99"
"34829","100.02","100.02","100.02"
"35012","100","100","100"
"35088","100","100","100"
"35200","100","100","100"
"35225","100.05","100.05","100.05"
"35294","100","100","100"
"35544","100.06","100.06","100.06"
"35601","100.00999999999999","100.00999999999999","100.00999999999999"
"35671","100.02","100.02","100.02"
"35947","100.03999999999999","100.03999999999999","100.03999999999999"
"36004","100.00999999999999","100.00999999999999","100.00999999999999"
"36030","100.00999999999999","100.00999999999999","100.00999999999999"
"36050","100","100","100"
"36271","100.02","100.02","100.02"
"36422","100.04","100.04","100.04"
"36525","100.03","100.03","100.03"
"36694","100.02","100.02","100.02"
"36979","100.05","100.05","100.05"
"37047","100.02","100.02","100.02"
"37129","100.04","100.04","100.04"
"37137","100.00999999999999","100.00999999999999","100.00999999999999"
"37153","100.01","100.01","100.01"
"37389","100.03","100.03","100.03"
"37462","100.02","100.02","100.02"
"37676","100.02","100.02","100.02"
"38110","100.00999999999999","100.00999999999999","100.00999999999999"
"38489","100.03","100.03","100.03"
"38741","100","100","100"
"38870","100.03","100.03","100.03"
"38952","100.03999999999999","100.03999999999999","100.03999999999999"
"39014","100.02","100.02","100.02"
"39098","99.99","99.99","99.99"
"39208","100.05","100.05","100.05"
"39321","100.02","100.02","100.02"
"39349","100.03999999999999","100.03999999999999","100.03999999999999"
"39375","100.02","100.02","100.02"
"39376","100.02","100.02","100.02"
"39625","100.05","100.05","100.05"
"39691","100.00999999999999","100.00999999999999","100.00999999999999"
"39709","100.00999999999999","100.00999999999999","100.00999999999999"
"39742","100.03","100.03","100.03"
"39790","100.03","100.03","100.03"
"39827","100","100","100"
"39896","100.03","100.03","100.03"
"40136","100.02","100.02","100.02"
"40211","100.04","100.04","100.04"
"40265","100.02","100.02","100.02"
"40368","100.00999999999999","100.00999999999999","100.00999999999999"
"40433","100","100","100"
"40438","99.95","99.95","99.95"
"40501","100.02","100.02","100.02"
"41318","100.03","100.03","100.03"
"41364","100.02","100.02","100.02"
"41492","100","100","100"
"41784","100.00999999999999","100.00999999999999","100.00999999999999"
"42059","100","100","100"
"42183","100.04","100.04","100.04"
"42284","100","100","100"
"42680","100.05","100.05","100.05"
"42801","100.02","100.02","100.02"
"42896","100.05","100.05","100.05"
"43023","100","100","100"
"43066","100.03","100.03","100.03"
"43176","100.02","100.02","100.02"
"43243","100.02","100.02","100.02"
"43312","100.03999999999999","100.03999999999999","100.03999999999999"
"43428","100.06","100.06","100.06"
"43492","100.02","100.02","100.02"
"43589","100.03","100.03","100.03"
"43658","100.02","100.02","100.02"
"43754","100.03","100.03","100.03"
"43856","99.96","99.96","99.96"
"43868","99.99","99.99","99.99"
"43890","100.03","100.03","100.03"
"43942","100.03","100.03","100.03"
"44004","100.01","100.01","100.01"
"44249","99.98","99.98","99.98"
"44250","99.99000000000001","99.99000000000001","99.99000000000001"
"44360","100.05","100.05","100.05"
"44450","100.03999999999999","100.03999999999999","100.03999999999999"
"45016","100.03999999999999","100.03999999999999","100.03999999999999"
"45188","100.04","100.04","100.04"
"45262","100.02","100.02","100.02"
"45354","100.02","100.02","100.02"
"45399","100.02","100.02","100.02"
"45476","100.05","100.05","100.05"
"45739","100.06","100.06","100.06"
"45794","100","100","100"
"46115","100.02","100.02","100.02"
"46255","100.03999999999999","100.03999999999999","100.03999999999999"
"46281","100.03","100.03","100.03"
"46294","100.01","100.01","100.01"
"46452","100.03999999999999","100.03999999999999","100.03999999999999"
"46496","100.04","100.04","100.04"
"46783","100.02","100.02","100.02"
"46812","100.02","100.02","100.02"
"46827","100.03","100.03","100.03"
"47125","100.02","100.02","100.02"
"47128","100","100","100"
"47161","99.99","99.99","99.99"
"47169","100.05","100.05","100.05"
"47360","100","100","100"
"47486","100.00999999999999","100.00999999999999","100.00999999999999"
"47489","100.02","100.02","100.02"
"47506","100.02","100.02","100.02"
"47632","100.03","100.03","100.03"
"47654","100.08","100.08","100.08"
"47680","100.02","100.02","100.02"
"47844","100.03999999999999","100.03999999999999","100.03999999999999"
"47914","100.03","100.03","100.03"
"48047","100.02","100.02","100.02"
"48127","100.00999999999999","100.00999999999999","100.00999999999999"
"48165","100.03","100.03","100.03"
"48174","100.00999999999999","100.00999999999999","100.00999999999999"
"48281","100","100","100"
"48354","100.02","100.02","100.02"
"48578","100.01","100.01","100.01"
"48621","100.03","100.03","100.03"
"48750","100.02","100.02","100.02"
"48872","100.04","100.04","100.04"
"48934","100.03","100.03","100.03"
"48938","100.03","100.03","100.03"
"49023","99.99","99.99","99.99"
"49109","100.03","100.03","100.03"
"49229","100.03","100.03","100.03"
"49296","100.02","100.02","100.02"
"49348","100.02","100.02","100.02"
"49643","100.00999999999999","100.00999999999999","100.00999999999999"
"49664","100.03999999999999","100.03999999999999","100.03999999999999"
"49692","100.06","100.06","100.06"
"49721","100.02","100.02","100.02"
"49852","100.03","100.03","100.03"
"49870","100.02","100.02","100.02"
"49880","100.02","100.02","100.02"
"49896","99.96","99.96","99.96"
"49962","100.03","100.03","100.03"
"50195","100.03999999999999","100.03999999999999","100.03999999999999"
"50430","100.00999999999999","100.00999999999999","100.00999999999999"
"50452","99.99","99.99","99.99"
"50578","100.03999999999999","100.03999999999999","100.03999999999999"
"50769","99.98","99.98","99.98"
"50850","100.00999999999999","100.00999999999999","100.00999999999999"
"50963","100.03999999999999","100.03999999999999","100.03999999999999"
"51003","100.03","100.03","100.03"
"51189","100.02","100.02","100.02"
"51292","100.03","100.03","100.03"
"51347","100.02","100.02","100.02"
"51540","100.03","100.03","100.03"
"51683","100.00999999999999","100.00999999999999","100.00999999999999"
"51692","100.01","100.01","100.01"
"51709","100.03","100.03","100.03"
"51772","100.06","100.06","100.06"
"51789","100.02","100.02","100.02"
"51889","100.03999999999999","100.03999999999999","100.03999999999999"
"51910","100.00999999999999","100.00999999999999","100.00999999999999"
"51993","100.03999999999999","100.03999999999999","100.03999999999999"
"52171","100.03999999999999","100.03999999999999","100.03999999999999"
"52427","99.98","99.98","99.98"
"52430","99.99","99.99","99.99"
"52562","100.02","100.02","100.02"
"52740","99.99","99.99","99.99"
"52818","100.02","100.02","100.02"
"52847","100.03999999999999","100.03999999999999","100.03999999999999"
"52870","99.98","99.98","99.98"
"52908","100.04","100.04","100.04"
"52938","100.02","100.02","100.02"
"53113","100.02","100.02","100.02"
"53163","100.08","100.08","100.08"
"53210","100.01","100.01","100.01"
"53226","99.97","99.97","99.97"
"53241","100.01","100.01","100.01"
"53250","100","100","100"
"53466","100","100","100"
"53487","100.02","100.02","100.02"
"53555","99.99000000000001","99.99000000000001","99.99000000000001"
"53796","100.03","100.03","100.03"
"53798","100.03","100.03","100.03"
"53884","100.06","100.06","100.06"
"54052","100.03","100.03","100.03"
"54080","100.03","100.03","100.03"
"54168","100","100","100"
"54234","100.00999999999999","100.00999999999999","100.00999999999999"
"54327","100.03","100.03","100.03"
"54433","100.00999999999999","100.00999999999999","100.00999999999999"
"54829","100.00999999999999","100.00999999999999","100.00999999999999"
"54877","100.06","100.06","100.06"
"54927","100.03","100.03","100.03"
"54988","100.03","100.03","100.03"
"55075","100.02","100.02","100.02"
"55133","100.04","100.04","100.04"
"55241","100.02","100.02","100.02"
"55382","100","100","100"
"55403","100.03","100.03","100.03"
"55422","99.98","99.98","99.98"
"55540","100.02","100.02","100.02"
"55567","100.03","100.03","100.03"
"55688","100.00999999999999","100.00999999999999","100.00999999999999"
"55787","100.01","100.01","100.01"
"55810","100","100","100"
"55836","100.03","100.03","100.03"
"55941","100.03","100.03","100.03"
"56006","100.03999999999999","100.03999999999999","100.03999999999999"
"56035","99.99","99.99","99.99"
"56041","100.03","100.03","100.03"
"56212","100.03","100.03","100.03"
"56259","100.02","100.02","100.02"
"56283","100.00999999999999","100.00999999999999","100.00999999999999"
"56352","100","100","100"
"56377","99.98","99.98","99.98"
"56384","100.00999999999999","100.00999999999999","100.00999999999999"
"56567","100.00999999999999","100.00999999999999","100.00999999999999"
"56667","100.03","100.03","100.03"
"56790","100.06","100.06","100.06"
"57312","100.00999999999999","100.00999999999999","100.00999999999999"
"57382","100.00999999999999","100.00999999999999","100.00999999999999"
"57520","100.03","100.03","100.03"
"57555","100.04","100.04","100.04"
"57678","100.02","100.02","100.02"
"57813","100.03","100.03","100.03"
"57839","100.00999999999999","100.00999999999999","100.00999999999999"
"57925","99.99","99.99","99.99"
"57957","100.06","100.06","100.06"
"58164","100.03","100.03","100.03"
"58172","100.02","100.02","100.02"
"58194","100.02","100.02","100.02"
"58292","100.01","100.01","100.01"
"58405","100.00999999999999","100.00999999999999","100.00999999999999"
"58415","100.00999999999999","100.00999999999999","100.00999999999999"
"58542","100.03","100.03","100.03"
"58578","100.06","100.06","100.06"
"58613","99.97","99.97","99.97"
"58845","100.03999999999999","100.03999999999999","100.03999999999999"
"58847","100.03999999999999","100.03999999999999","100.03999999999999"
"59125","99.99","99.99","99.99"
"59148","100.00999999999999","100.00999999999999","100.00999999999999"
"59370","100.01","100.01","100.01"
"59522","100.05","100.05","100.05"
"59819","100.06","100.06","100.06"
"59948","100.09","100.09","100.09"
"59949","100.09","100.09","100.09"
"59988","100.00999999999999","100.00999999999999","100.00999999999999"
"60161","100.03","100.03","100.03"
"60219","100.03","100.03","100.03"
"60315","100.02","100.02","100.02"
"60383","100.03","100.03","100.03"
"60422","100.00999999999999","100.00999999999999","100.00999999999999"
"60510","100.02","100.02","100.02"
"60655","100.00999999999999","100.00999999999999","100.00999999999999"
"60781","100.03","100.03","100.03"
"60822","100.06","100.06","100.06"
"60868","100.02","100.02","100.02"
"60880","99.99","99.99","99.99"
"61006","100","100","100"
"61031","100.09","100.09","100.09"
"61277","100","100","100"
"61620","100.03","100.03","100.03"
"61744","100.02","100.02","100.02"
"61749","99.99","99.99","99.99"
"61816","100.00999999999999","100.00999999999999","100.00999999999999"
"61896","99.96","99.96","99.96"
"61932","100.00999999999999","100.00999999999999","100.00999999999999"
"62030","100","100","100"
"62108","100.05","100.05","100.05"
"62137","100.06","100.06","100.06"
"62225","100.03","100.03","100.03"
"62290","99.99","99.99","99.99"
"62319","100.04","100.04","100.04"
"62380","100","100","100"
"62518","99.99","99.99","99.99"
"62527","100.03","100.03","100.03"
"62745","100.03999999999999","100.03999999999999","100.03999999999999"
"62910","100.05","100.05","100.05"
"62924","100.03","100.03","100.03"
"63059","100.05","100.05","100.05"
"63180","100.05","100.05","100.05"
"63269","100.03","100.03","100.03"
"63621","100.00999999999999","100.00999999999999","100.00999999999999"
"63662","100.00999999999999","100.00999999999999","100.00999999999999"
"63693","100.02","100.02","100.02"
"63747","100.00999999999999","100.00999999999999","100.00999999999999"
"63756","100.03","100.03","100.03"
"63832","100.02","100.02","100.02"
"63876","100","100","100"
"63929","100.02","100.02","100.02"
"64010","100.03999999999999","100.03999999999999","100.03999999999999"
"64155","100.04","100.04","100.04"
"64241","100.02","100.02","100.02"
"64246","100.02","100.02","100.02"
"64262","100.05","100.05","100.05"
"64414","99.99","99.99","99.99"
"64824","100.02","100.02","100.02"
"64944","100.02","100.02","100.02"
"65037","100.03","100.03","100.03"
"65256","100.07","100.07","100.07"
"65258","100.03999999999999","100.03999999999999","100.03999999999999"
"65428","100.00999999999999","100.00999999999999","100.00999999999999"
"65713","100.00999999999999","100.00999999999999","100.00999999999999"
"65754","100.03999999999999","100.03999999999999","100.03999999999999"
"65850","100.03","100.03","100.03"
"65885","100.00999999999999","100.00999999999999","100.00999999999999"
"66328","99.97","99.97","99.97"
"66481","100.05","100.05","100.05"
"66649","100.03999999999999","100.03999999999999","100.03999999999999"
"66672","100.03","100.03","100.03"
"66683","100.03","100.03","100.03"
"66704","100.00999999999999","100.00999999999999","100.00999999999999"
"66770","100.02","100.02","100.02"
"66889","100.03","100.03","100.03"
"66910","100.03999999999999","100.03999999999999","100.03999999999999"
"66982","100.02","100.02","100.02"
"67141","100.02","100.02","100.02"
"67205","100.03","100.03","100.03"
"67257","100.03","100.03","100.03"
"67442","100.02","100.02","100.02"
"67750","100","100","100"
"67756","100.05","100.05","100.05"
"67895","99.99","99.99","99.99"
"67920","100.00999999999999","100.00999999999999","100.00999999999999"
"67991","100.05","100.05","100.05"
"68008","100.02","100.02","100.02"
"68035","100.00999999999999","100.00999999999999","100.00999999999999"
"68054","99.99","99.99","99.99"
"68240","100.02","100.02","100.02"
"68532","100.03","100.03","100.03"
"68547","100.03","100.03","100.03"
"68561","100.02","100.02","100.02"
"68613","100.03","100.03","100.03"
"68680","100.06","100.06","100.06"
"68681","100.06","100.06","100.06"
"68731","100.07","100.07","100.07"
"68736","100.09","100.09","100.09"
"68756","100.02","100.02","100.02"
"68833","100.03","100.03","100.03"
"69030","99.99","99.99","99.99"
"69164","100.01","100.01","100.01"
"69291","100.02","100.02","100.02"
"69419","100.00999999999999","100.00999999999999","100.00999999999999"
"69547","100.03","100.03","100.03"
"69793","99.99","99.99","99.99"
"69836","100.00999999999999","100.00999999999999","100.00999999999999"
"70025","100.03999999999999","100.03999999999999","100.03999999999999"
"70036","100.02","100.02","100.02"
"70196","100.02","100.02","100.02"
"70198","100.03999999999999","100.03999999999999","100.03999999999999"
"70345","100.02","100.02","100.02"
"70413","99.99","99.99","99.99"
"70472","100.05","100.05","100.05"
"70534","100.00999999999999","100.00999999999999","100.00999999999999"
"70630","100.03","100.03","100.03"
"70633","100","100","100"
"70642","100.03","100.03","100.03"
"71098","100.05","100.05","100.05"
"71311","100.02","100.02","100.02"
"71614","100.02","100.02","100.02"
"71653","100.02","100.02","100.02"
"71694","100.00999999999999","100.00999999999999","100.00999999999999"
"71880","100.02","100.02","100.02"
"72064","100.05","100.05","100.05"
"72146","100.03","100.03","100.03"
"72525","99.99","99.99","99.99"
"72790","100.05","100.05","100.05"
"72872","100","100","100"
"73061","100.02","100.02","100.02"
"73290","100","100","100"
"73326","100","100","100"
"73382","100.03","100.03","100.03"
"73418","100.03","100.03","100.03"
"73473","100.00999999999999","100.00999999999999","100.00999999999999"
"73636","100.00999999999999","100.00999999999999","100.00999999999999"
"73671","100.05","100.05","100.05"
"73871","100","100","100"
"73938","100.02","100.02","100.02"
"73975","100.05","100.05","100.05"
"74071","99.97","99.97","99.97"
"74192","100.02","100.02","100.02"
"74211","100.02","100.02","100.02"
"74299","100","100","100"
"74659","99.99","99.99","99.99"
"74725","100.00999999999999","100.00999999999999","100.00999999999999"
"74783","100.05","100.05","100.05"
"75083","100.03","100.03","100.03"
"75101","100.06","100.06","100.06"
"75139","100.02","100.02","100.02"
"75183","100.03","100.03","100.03"
"75328","100.03","100.03","100.03"
"75550","100.03","100.03","100.03"
"75631","100.02","100.02","100.02"
"75639","100.03","100.03","100.03"
"75772","100.05","100.05","100.05"
"75826","99.99","99.99","99.99"
"75829","100.00999999999999","100.00999999999999","100.00999999999999"
"76056","100.03","100.03","100.03"
"76092","100.00999999999999","100.00999999999999","100.00999999999999"
"76127","100.00999999999999","100.00999999999999","100.00999999999999"
"76142","100.03","100.03","100.03"
"76205","100.00999999999999","100.00999999999999","100.00999999999999"
"76224","100.05","100.05","100.05"
"76279","100.03","100.03","100.03"
"76397","100.03","100.03","100.03"
"76441","100.00999999999999","100.00999999999999","100.00999999999999"
"76486","100.02","100.02","100.02"
"76557","100.00999999999999","100.00999999999999","100.00999999999999"
"76620","100","100","100"
"76766","100.03999999999999","100.03999999999999","100.03999999999999"
