"Step","ddqn_5jioz8z8 - Ask Price","ddqn_5jioz8z8 - Ask Price__MIN","ddqn_5jioz8z8 - Ask Price__MAX"
"46595","100.00999999999999","100.00999999999999","100.00999999999999"
"46670","99.97","99.97","99.97"
"46718","100.03","100.03","100.03"
"46894","100.00999999999999","100.00999999999999","100.00999999999999"
"46964","100.02","100.02","100.02"
"47021","100.02","100.02","100.02"
"47067","100.03","100.03","100.03"
"47145","100.02","100.02","100.02"
"47159","100.06","100.06","100.06"
"47224","100.03","100.03","100.03"
"47315","100.03","100.03","100.03"
"47321","100.03","100.03","100.03"
"47328","100","100","100"
"47444","100.02","100.02","100.02"
"47548","100.02","100.02","100.02"
"47579","100.05","100.05","100.05"
"47624","100.03","100.03","100.03"
"47668","100.00999999999999","100.00999999999999","100.00999999999999"
"47832","100.03","100.03","100.03"
"48010","100.05","100.05","100.05"
"48110","100.05","100.05","100.05"
"48135","100.10000000000001","100.10000000000001","100.10000000000001"
"48155","100.00999999999999","100.00999999999999","100.00999999999999"
"48347","100.02","100.02","100.02"
"48369","100.02","100.02","100.02"
"48413","100.02","100.02","100.02"
"48567","100.00999999999999","100.00999999999999","100.00999999999999"
"48655","100.02","100.02","100.02"
"48659","100.05","100.05","100.05"
"48714","100.03999999999999","100.03999999999999","100.03999999999999"
"48746","100.06","100.06","100.06"
"48968","100.03","100.03","100.03"
"49245","100.03999999999999","100.03999999999999","100.03999999999999"
"49269","100.03","100.03","100.03"
"49565","100.02","100.02","100.02"
"49636","100.02","100.02","100.02"
"49691","100.05","100.05","100.05"
"49702","100","100","100"
"49709","100.02","100.02","100.02"
"49711","100.02","100.02","100.02"
"49819","100.06","100.06","100.06"
"49831","100","100","100"
"49923","100.05","100.05","100.05"
"50157","100.03","100.03","100.03"
"50227","100.03","100.03","100.03"
"50273","100.03999999999999","100.03999999999999","100.03999999999999"
"50535","100.03999999999999","100.03999999999999","100.03999999999999"
"50538","100.03999999999999","100.03999999999999","100.03999999999999"
"50707","100.02","100.02","100.02"
"51175","100.01","100.01","100.01"
"51213","100","100","100"
"51263","100.00999999999999","100.00999999999999","100.00999999999999"
"51266","100","100","100"
"51371","100.03999999999999","100.03999999999999","100.03999999999999"
"51433","100.01","100.01","100.01"
"51501","100.00999999999999","100.00999999999999","100.00999999999999"
"51631","100.03","100.03","100.03"
"51660","100.03","100.03","100.03"
"51802","100.03","100.03","100.03"
"51853","100.00999999999999","100.00999999999999","100.00999999999999"
"51886","100.02","100.02","100.02"
"52073","100.00999999999999","100.00999999999999","100.00999999999999"
"52322","100.00999999999999","100.00999999999999","100.00999999999999"
"52449","99.98","99.98","99.98"
"52638","100.02","100.02","100.02"
"52719","100.04","100.04","100.04"
"52781","100.00999999999999","100.00999999999999","100.00999999999999"
"52789","100.02","100.02","100.02"
"52874","100.00999999999999","100.00999999999999","100.00999999999999"
"52909","100.03","100.03","100.03"
"52942","100","100","100"
"53133","100.00999999999999","100.00999999999999","100.00999999999999"
"53240","100.03999999999999","100.03999999999999","100.03999999999999"
"53293","100.00999999999999","100.00999999999999","100.00999999999999"
"53393","100.02","100.02","100.02"
"53610","100.00999999999999","100.00999999999999","100.00999999999999"
"53665","100.03","100.03","100.03"
"53785","100.08","100.08","100.08"
"53896","100","100","100"
"54054","100.03","100.03","100.03"
"54074","100.05","100.05","100.05"
"54340","100","100","100"
"54494","100.02","100.02","100.02"
"54878","100.05","100.05","100.05"
"55062","100.00999999999999","100.00999999999999","100.00999999999999"
"55317","100.03","100.03","100.03"
"55371","100.00999999999999","100.00999999999999","100.00999999999999"
"55443","100.02","100.02","100.02"
"55659","100.03","100.03","100.03"
"55661","100.06","100.06","100.06"
"55672","100.05","100.05","100.05"
"55715","100.04","100.04","100.04"
"55807","100.03","100.03","100.03"
"55815","100","100","100"
"55937","100","100","100"
"56010","100.03999999999999","100.03999999999999","100.03999999999999"
"56266","100.03999999999999","100.03999999999999","100.03999999999999"
"56374","100.05","100.05","100.05"
"56965","100.05","100.05","100.05"
"57050","100.02","100.02","100.02"
"57056","100.01","100.01","100.01"
"57425","100.02","100.02","100.02"
"57466","100.02","100.02","100.02"
"57484","100.02","100.02","100.02"
"57516","100.03","100.03","100.03"
"57531","100.01","100.01","100.01"
"57550","100.05","100.05","100.05"
"57639","100.02","100.02","100.02"
"57702","100.00999999999999","100.00999999999999","100.00999999999999"
"57933","100","100","100"
"58102","100.02","100.02","100.02"
"58187","100","100","100"
"58261","100.04","100.04","100.04"
"58372","100.06","100.06","100.06"
"58400","100","100","100"
"58407","100.03999999999999","100.03999999999999","100.03999999999999"
"58540","100.02","100.02","100.02"
"58542","100.03","100.03","100.03"
"58667","100.00999999999999","100.00999999999999","100.00999999999999"
"59178","100.02","100.02","100.02"
"59368","100.06","100.06","100.06"
"59640","100.02","100.02","100.02"
"59998","100","100","100"
"60104","100.00999999999999","100.00999999999999","100.00999999999999"
"60195","100.00999999999999","100.00999999999999","100.00999999999999"
"60346","99.98","99.98","99.98"
"60500","99.98","99.98","99.98"
"60570","100.03","100.03","100.03"
"60594","100.03","100.03","100.03"
"60615","100.07","100.07","100.07"
"60681","100","100","100"
"60712","100.02","100.02","100.02"
"60912","100.03999999999999","100.03999999999999","100.03999999999999"
"60999","99.99","99.99","99.99"
"61004","100.00999999999999","100.00999999999999","100.00999999999999"
"61014","100.02","100.02","100.02"
"61031","100.03","100.03","100.03"
"61144","100.00999999999999","100.00999999999999","100.00999999999999"
"61275","99.99","99.99","99.99"
"61302","100.06","100.06","100.06"
"61401","100.00999999999999","100.00999999999999","100.00999999999999"
"61428","100.02","100.02","100.02"
"61509","100.04","100.04","100.04"
"61678","100.02","100.02","100.02"
"61743","100.00999999999999","100.00999999999999","100.00999999999999"
"62095","100.03","100.03","100.03"
"62425","100.05","100.05","100.05"
"62514","100.00999999999999","100.00999999999999","100.00999999999999"
"62590","100.02","100.02","100.02"
"62644","100.02","100.02","100.02"
"62712","100.05","100.05","100.05"
"62728","100.02","100.02","100.02"
"62998","100.03999999999999","100.03999999999999","100.03999999999999"
"63051","99.99000000000001","99.99000000000001","99.99000000000001"
"63073","100.02","100.02","100.02"
"63128","100.04","100.04","100.04"
"63749","100.02","100.02","100.02"
"63908","100.03","100.03","100.03"
"63961","100.02","100.02","100.02"
"64064","100.03","100.03","100.03"
"64072","100.03","100.03","100.03"
"64230","100.00999999999999","100.00999999999999","100.00999999999999"
"64350","100.00999999999999","100.00999999999999","100.00999999999999"
"64454","100.04","100.04","100.04"
"64538","100.03","100.03","100.03"
"64570","100.03","100.03","100.03"
"64587","100.03999999999999","100.03999999999999","100.03999999999999"
"64653","100","100","100"
"64664","100.05","100.05","100.05"
"64787","100.07","100.07","100.07"
"64791","100","100","100"
"64911","100.00999999999999","100.00999999999999","100.00999999999999"
"65039","100.02","100.02","100.02"
"65040","100.03","100.03","100.03"
"65045","100.05","100.05","100.05"
"65051","100.00999999999999","100.00999999999999","100.00999999999999"
"65153","100","100","100"
"65309","100.03","100.03","100.03"
"65320","100.00999999999999","100.00999999999999","100.00999999999999"
"65437","100.02","100.02","100.02"
"65608","100.00999999999999","100.00999999999999","100.00999999999999"
"65616","100.02","100.02","100.02"
"65768","100.05","100.05","100.05"
"65773","100.05","100.05","100.05"
"65940","100.03","100.03","100.03"
"65990","100.02","100.02","100.02"
"66059","100.03","100.03","100.03"
"66127","100.02","100.02","100.02"
"66195","100.03999999999999","100.03999999999999","100.03999999999999"
"66245","100.03999999999999","100.03999999999999","100.03999999999999"
"66648","100.03999999999999","100.03999999999999","100.03999999999999"
"66651","100.00999999999999","100.00999999999999","100.00999999999999"
"66692","100.03999999999999","100.03999999999999","100.03999999999999"
"66699","100.03","100.03","100.03"
"66831","100.07","100.07","100.07"
"66849","100","100","100"
"66884","100.02","100.02","100.02"
"66912","100.02","100.02","100.02"
"66914","100.00999999999999","100.00999999999999","100.00999999999999"
"67132","100.03","100.03","100.03"
"67187","100.00999999999999","100.00999999999999","100.00999999999999"
"67369","100.02","100.02","100.02"
"67509","100.02","100.02","100.02"
"67546","100","100","100"
"67630","99.99","99.99","99.99"
"67638","100","100","100"
"67687","100.02","100.02","100.02"
"67767","100.00999999999999","100.00999999999999","100.00999999999999"
"67840","100","100","100"
"67912","100.03999999999999","100.03999999999999","100.03999999999999"
"68019","100.03999999999999","100.03999999999999","100.03999999999999"
"68156","100.05","100.05","100.05"
"68191","100.02","100.02","100.02"
"68269","100","100","100"
"68369","100.03999999999999","100.03999999999999","100.03999999999999"
"68486","100","100","100"
"68530","100.08","100.08","100.08"
"68565","100.00999999999999","100.00999999999999","100.00999999999999"
"68655","100.02","100.02","100.02"
"68666","100.02","100.02","100.02"
"68704","100.07","100.07","100.07"
"68711","100","100","100"
"68813","99.99","99.99","99.99"
"68930","100.00999999999999","100.00999999999999","100.00999999999999"
"69072","100.00999999999999","100.00999999999999","100.00999999999999"
"69093","100.02","100.02","100.02"
"69248","100.00999999999999","100.00999999999999","100.00999999999999"
"69310","100","100","100"
"69516","100.04","100.04","100.04"
"69638","100.04","100.04","100.04"
"69817","99.99","99.99","99.99"
"69821","100.02","100.02","100.02"
"69876","100.05","100.05","100.05"
"70001","100","100","100"
"70081","100.00999999999999","100.00999999999999","100.00999999999999"
"70171","100.02","100.02","100.02"
"70296","100.03999999999999","100.03999999999999","100.03999999999999"
"70386","100.00999999999999","100.00999999999999","100.00999999999999"
"70451","100.03","100.03","100.03"
"70792","100.03","100.03","100.03"
"70858","100.02","100.02","100.02"
"70930","100.03","100.03","100.03"
"70936","100.03","100.03","100.03"
"70949","100.03","100.03","100.03"
"71186","100.02","100.02","100.02"
"71421","100.03","100.03","100.03"
"71548","100.02","100.02","100.02"
"71634","100.00999999999999","100.00999999999999","100.00999999999999"
"71671","99.99","99.99","99.99"
"71728","100.01","100.01","100.01"
"71836","100.00999999999999","100.00999999999999","100.00999999999999"
"71886","99.99","99.99","99.99"
"72063","100.02","100.02","100.02"
"72135","100.02","100.02","100.02"
"72617","99.99000000000001","99.99000000000001","99.99000000000001"
"72984","99.99","99.99","99.99"
"73128","100.03999999999999","100.03999999999999","100.03999999999999"
"73141","100.03","100.03","100.03"
"73176","100.1","100.1","100.1"
"73257","100.00999999999999","100.00999999999999","100.00999999999999"
